0,1,2,3,4
0.8013,0.8124,0.8241,0.8343,0.8462
0.8122,0.8231,0.8342,0.8441,0.853
0.8231,0.834,0.8442,0.8553,0.8641
0.8332,0.8432,0.8543,0.8632,0.8731
0.844,0.8523,0.8631,0.8724,0.8832
0.8543,0.8721,0.8821,0.8912,0.9023
0.8642,0.8823,0.892,0.9031,0.9241
0.8802,0.9013,0.9221,0.9314,0.9501

