0,1,2,3,4
0.8001,0.812,0.8231,0.8342,0.846
0.8123,0.8241,0.8352,0.846,0.8541
0.8234,0.8351,0.8453,0.855,0.8642
0.834,0.845,0.8543,0.8642,0.8731
0.8452,0.8531,0.8641,0.873,0.884
0.8551,0.872,0.8823,0.8911,0.902
0.8652,0.8824,0.893,0.9032,0.924
0.8813,0.9011,0.922,0.9321,0.9502

