0,1,2,3,4
0.8102,0.821,0.8341,0.8403,0.854
0.8213,0.831,0.8419,0.8532,0.8601
0.832,0.8431,0.853,0.864,0.8722
0.8431,0.851,0.8642,0.8733,0.8804
0.8542,0.8611,0.872,0.8812,0.891
0.8633,0.881,0.8914,0.902,0.9112
0.8741,0.892,0.9013,0.9111,0.9342
0.8904,0.9121,0.934,0.9442,0.9603

