0,1,2,3,4
0.7912,0.8021,0.8142,0.824,0.8351
0.803,0.8151,0.8261,0.8371,0.8443
0.8143,0.8261,0.8372,0.8482,0.855
0.8251,0.8373,0.847,0.8571,0.865
0.8353,0.8441,0.8553,0.8641,0.8751
0.8444,0.8631,0.8734,0.882,0.8911
0.8543,0.8733,0.8833,0.8923,0.9142
0.8711,0.8921,0.9124,0.9223,0.9404

